start_time,away_team,away_team_score,home_team,home_team_score
2021-01-11 00:00:00+00:00,MIAMI HEAT,,BOSTON CELTICS,
2021-01-11 00:00:00+00:00,LOS ANGELES LAKERS,,HOUSTON ROCKETS,
2021-01-11 01:00:00+00:00,SAN ANTONIO SPURS,,MINNESOTA TIMBERWOLVES,
2021-01-11 01:30:00+00:00,TORONTO RAPTORS,,GOLDEN STATE WARRIORS,
2021-01-12 00:00:00+00:00,NEW YORK KNICKS,,CHARLOTTE HORNETS,
2021-01-12 00:00:00+00:00,MEMPHIS GRIZZLIES,,CLEVELAND CAVALIERS,
2021-01-12 00:00:00+00:00,MILWAUKEE BUCKS,,ORLANDO MAGIC,
2021-01-12 00:00:00+00:00,PHOENIX SUNS,,WASHINGTON WIZARDS,
2021-01-12 00:30:00+00:00,PHILADELPHIA 76ERS,,ATLANTA HAWKS,
2021-01-12 01:30:00+00:00,NEW ORLEANS PELICANS,,DALLAS MAVERICKS,
2021-01-12 03:00:00+00:00,TORONTO RAPTORS,,PORTLAND TRAIL BLAZERS,
2021-01-12 03:00:00+00:00,INDIANA PACERS,,SACRAMENTO KINGS,
2021-01-13 00:00:00+00:00,MIAMI HEAT,,PHILADELPHIA 76ERS,
2021-01-13 00:30:00+00:00,DENVER NUGGETS,,BROOKLYN NETS,
2021-01-13 00:30:00+00:00,UTAH JAZZ,,CLEVELAND CAVALIERS,
2021-01-13 01:00:00+00:00,BOSTON CELTICS,,CHICAGO BULLS,
2021-01-13 01:00:00+00:00,LOS ANGELES LAKERS,,HOUSTON ROCKETS,
2021-01-13 01:00:00+00:00,SAN ANTONIO SPURS,,OKLAHOMA CITY THUNDER,
2021-01-13 03:30:00+00:00,INDIANA PACERS,,GOLDEN STATE WARRIORS,
2021-01-14 00:00:00+00:00,DALLAS MAVERICKS,,CHARLOTTE HORNETS,
2021-01-14 00:00:00+00:00,MILWAUKEE BUCKS,,DETROIT PISTONS,
2021-01-14 00:00:00+00:00,UTAH JAZZ,,WASHINGTON WIZARDS,
2021-01-14 00:30:00+00:00,ORLANDO MAGIC,,BOSTON CELTICS,
2021-01-14 00:30:00+00:00,BROOKLYN NETS,,NEW YORK KNICKS,
2021-01-14 01:00:00+00:00,MEMPHIS GRIZZLIES,,MINNESOTA TIMBERWOLVES,
2021-01-14 01:00:00+00:00,LOS ANGELES LAKERS,,OKLAHOMA CITY THUNDER,
2021-01-14 02:00:00+00:00,ATLANTA HAWKS,,PHOENIX SUNS,
2021-01-14 03:00:00+00:00,NEW ORLEANS PELICANS,,LOS ANGELES CLIPPERS,
2021-01-14 03:00:00+00:00,PORTLAND TRAIL BLAZERS,,SACRAMENTO KINGS,
2021-01-15 00:30:00+00:00,MIAMI HEAT,,PHILADELPHIA 76ERS,
2021-01-15 00:30:00+00:00,CHARLOTTE HORNETS,,TORONTO RAPTORS,
2021-01-15 01:30:00+00:00,HOUSTON ROCKETS,,SAN ANTONIO SPURS,
2021-01-15 03:00:00+00:00,GOLDEN STATE WARRIORS,,DENVER NUGGETS,
2021-01-15 03:00:00+00:00,INDIANA PACERS,,PORTLAND TRAIL BLAZERS,
2021-01-16 00:00:00+00:00,WASHINGTON WIZARDS,,DETROIT PISTONS,
2021-01-16 00:30:00+00:00,ORLANDO MAGIC,,BOSTON CELTICS,
2021-01-16 00:30:00+00:00,NEW YORK KNICKS,,CLEVELAND CAVALIERS,
2021-01-16 00:30:00+00:00,DALLAS MAVERICKS,,MILWAUKEE BUCKS,
2021-01-16 01:00:00+00:00,MEMPHIS GRIZZLIES,,MINNESOTA TIMBERWOLVES,
2021-01-16 01:00:00+00:00,CHICAGO BULLS,,OKLAHOMA CITY THUNDER,
2021-01-16 02:00:00+00:00,GOLDEN STATE WARRIORS,,PHOENIX SUNS,
2021-01-16 02:00:00+00:00,ATLANTA HAWKS,,UTAH JAZZ,
2021-01-16 03:00:00+00:00,NEW ORLEANS PELICANS,,LOS ANGELES LAKERS,
2021-01-16 03:00:00+00:00,LOS ANGELES CLIPPERS,,SACRAMENTO KINGS,
2021-01-16 22:00:00+00:00,HOUSTON ROCKETS,,SAN ANTONIO SPURS,
2021-01-16 23:00:00+00:00,ORLANDO MAGIC,,BROOKLYN NETS,
2021-01-17 00:30:00+00:00,CHARLOTTE HORNETS,,TORONTO RAPTORS,
2021-01-17 01:00:00+00:00,PHILADELPHIA 76ERS,,MEMPHIS GRIZZLIES,
2021-01-17 01:00:00+00:00,DETROIT PISTONS,,MIAMI HEAT,
2021-01-17 02:00:00+00:00,INDIANA PACERS,,PHOENIX SUNS,
2021-01-17 03:00:00+00:00,ATLANTA HAWKS,,PORTLAND TRAIL BLAZERS,
2021-01-17 18:00:00+00:00,NEW YORK KNICKS,,BOSTON CELTICS,
2021-01-17 19:00:00+00:00,CLEVELAND CAVALIERS,,WASHINGTON WIZARDS,
2021-01-17 20:00:00+00:00,CHICAGO BULLS,,DALLAS MAVERICKS,
2021-01-18 00:00:00+00:00,PHILADELPHIA 76ERS,,OKLAHOMA CITY THUNDER,
2021-01-18 01:00:00+00:00,UTAH JAZZ,,DENVER NUGGETS,
2021-01-18 02:00:00+00:00,NEW ORLEANS PELICANS,,SACRAMENTO KINGS,
2021-01-18 03:00:00+00:00,INDIANA PACERS,,LOS ANGELES CLIPPERS,
2021-01-18 17:00:00+00:00,ORLANDO MAGIC,,NEW YORK KNICKS,
2021-01-18 19:00:00+00:00,CLEVELAND CAVALIERS,,WASHINGTON WIZARDS,
2021-01-18 19:30:00+00:00,MINNESOTA TIMBERWOLVES,,ATLANTA HAWKS,
2021-01-18 20:00:00+00:00,DETROIT PISTONS,,MIAMI HEAT,
2021-01-18 20:00:00+00:00,SAN ANTONIO SPURS,,PORTLAND TRAIL BLAZERS,
2021-01-18 22:00:00+00:00,PHOENIX SUNS,,MEMPHIS GRIZZLIES,
2021-01-19 00:30:00+00:00,MILWAUKEE BUCKS,,BROOKLYN NETS,
2021-01-19 00:30:00+00:00,DALLAS MAVERICKS,,TORONTO RAPTORS,
2021-01-19 01:00:00+00:00,HOUSTON ROCKETS,,CHICAGO BULLS,
2021-01-19 03:00:00+00:00,GOLDEN STATE WARRIORS,,LOS ANGELES LAKERS,
2021-01-20 02:00:00+00:00,OKLAHOMA CITY THUNDER,,DENVER NUGGETS,
2021-01-20 02:00:00+00:00,NEW ORLEANS PELICANS,,UTAH JAZZ,
2021-01-21 00:00:00+00:00,WASHINGTON WIZARDS,,CHARLOTTE HORNETS,
2021-01-21 00:00:00+00:00,BROOKLYN NETS,,CLEVELAND CAVALIERS,
2021-01-21 00:00:00+00:00,DALLAS MAVERICKS,,INDIANA PACERS,
2021-01-21 00:00:00+00:00,BOSTON CELTICS,,PHILADELPHIA 76ERS,
2021-01-21 00:30:00+00:00,DETROIT PISTONS,,ATLANTA HAWKS,
2021-01-21 00:30:00+00:00,MIAMI HEAT,,TORONTO RAPTORS,
2021-01-21 01:00:00+00:00,ORLANDO MAGIC,,MINNESOTA TIMBERWOLVES,
2021-01-21 02:30:00+00:00,PHOENIX SUNS,,HOUSTON ROCKETS,
2021-01-21 03:00:00+00:00,SAN ANTONIO SPURS,,GOLDEN STATE WARRIORS,
2021-01-21 03:00:00+00:00,SACRAMENTO KINGS,,LOS ANGELES CLIPPERS,
2021-01-21 03:00:00+00:00,MEMPHIS GRIZZLIES,,PORTLAND TRAIL BLAZERS,
2021-01-22 00:30:00+00:00,LOS ANGELES LAKERS,,MILWAUKEE BUCKS,
2021-01-22 03:00:00+00:00,NEW YORK KNICKS,,GOLDEN STATE WARRIORS,
2021-01-22 03:00:00+00:00,NEW ORLEANS PELICANS,,UTAH JAZZ,
2021-01-23 00:00:00+00:00,CHICAGO BULLS,,CHARLOTTE HORNETS,
2021-01-23 00:00:00+00:00,HOUSTON ROCKETS,,DETROIT PISTONS,
2021-01-23 00:00:00+00:00,ORLANDO MAGIC,,INDIANA PACERS,
2021-01-23 00:30:00+00:00,BROOKLYN NETS,,CLEVELAND CAVALIERS,
2021-01-23 00:30:00+00:00,BOSTON CELTICS,,PHILADELPHIA 76ERS,
2021-01-23 00:30:00+00:00,MIAMI HEAT,,TORONTO RAPTORS,
2021-01-23 01:00:00+00:00,WASHINGTON WIZARDS,,MILWAUKEE BUCKS,
2021-01-23 01:00:00+00:00,ATLANTA HAWKS,,MINNESOTA TIMBERWOLVES,
2021-01-23 01:30:00+00:00,DALLAS MAVERICKS,,SAN ANTONIO SPURS,
2021-01-23 03:00:00+00:00,OKLAHOMA CITY THUNDER,,LOS ANGELES CLIPPERS,
2021-01-23 03:00:00+00:00,DENVER NUGGETS,,PHOENIX SUNS,
2021-01-23 03:00:00+00:00,MEMPHIS GRIZZLIES,,PORTLAND TRAIL BLAZERS,
2021-01-23 03:00:00+00:00,NEW YORK KNICKS,,SACRAMENTO KINGS,
2021-01-23 22:00:00+00:00,GOLDEN STATE WARRIORS,,UTAH JAZZ,
2021-01-24 00:00:00+00:00,PHILADELPHIA 76ERS,,DETROIT PISTONS,
