slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
russeda01,D'Angelo Russell,MINNESOTA TIMBERWOLVES,HOME,DETROIT PISTONS,WIN,2000,7,16,4,11,0,0,1,4,4,1,0,2,2,12.5
siakapa01,Pascal Siakam,TORONTO RAPTORS,HOME,NEW ORLEANS PELICANS,LOSS,2321,8,17,3,7,1,2,0,6,6,0,0,4,1,12.5
brookdi01,Dillon Brooks,MEMPHIS GRIZZLIES,HOME,SAN ANTONIO SPURS,LOSS,1993,7,14,1,3,1,1,1,3,6,2,0,2,6,12.4
favorde01,Derrick Favors,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,WIN,977,5,5,0,0,0,0,2,5,3,0,0,0,3,12.3
edwaran01,Anthony Edwards,MINNESOTA TIMBERWOLVES,HOME,DETROIT PISTONS,WIN,1509,5,12,1,5,4,4,2,2,4,0,0,1,1,12.0
turnemy01,Myles Turner,INDIANA PACERS,HOME,NEW YORK KNICKS,WIN,1728,4,9,0,4,2,2,1,7,1,0,8,2,1,12.0
clarkjo01,Jordan Clarkson,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,WIN,1329,6,12,3,6,0,0,1,6,1,0,1,1,0,11.9
collijo01,John Collins,ATLANTA HAWKS,AWAY,CHICAGO BULLS,WIN,1083,6,10,0,2,2,2,0,4,2,0,2,0,4,11.8
culveja01,Jarrett Culver,MINNESOTA TIMBERWOLVES,HOME,DETROIT PISTONS,WIN,1237,3,6,0,1,4,5,2,8,2,0,0,0,0,11.8
lowryky01,Kyle Lowry,TORONTO RAPTORS,HOME,NEW ORLEANS PELICANS,LOSS,2314,7,15,4,9,0,0,1,0,10,1,0,6,3,11.8
reddica01,Cam Reddish,ATLANTA HAWKS,AWAY,CHICAGO BULLS,WIN,1426,6,11,1,3,2,2,1,5,0,2,0,1,3,11.7
willizi01,Zion Williamson,NEW ORLEANS PELICANS,AWAY,TORONTO RAPTORS,WIN,1774,7,9,0,0,1,4,4,6,3,1,1,6,3,11.5
vucevni01,Nikola Vučević,ORLANDO MAGIC,HOME,MIAMI HEAT,WIN,2013,5,13,3,5,2,8,2,9,3,1,1,2,0,11.4
randlju01,Julius Randle,NEW YORK KNICKS,AWAY,INDIANA PACERS,LOSS,2128,7,15,0,2,3,4,1,8,9,0,0,5,5,11.3
curryse01,Seth Curry,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,WIN,1936,4,8,1,5,4,4,0,0,4,2,0,1,4,11.2
okorois01,Isaac Okoro,CLEVELAND CAVALIERS,HOME,CHARLOTTE HORNETS,WIN,2012,4,5,1,2,2,2,0,3,5,0,0,2,1,11.1
thomptr01,Tristan Thompson,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,1344,6,10,0,0,0,0,4,4,1,0,0,0,3,10.9
aldrila01,LaMarcus Aldridge,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,WIN,1726,9,17,1,4,1,1,0,3,1,0,1,2,3,10.8
rosste01,Terrence Ross,ORLANDO MAGIC,HOME,MIAMI HEAT,WIN,1713,6,14,3,6,4,4,0,3,1,1,0,3,1,10.8
finnedo01,Dorian Finney-Smith,DALLAS MAVERICKS,AWAY,PHOENIX SUNS,LOSS,2148,4,11,1,6,2,2,1,7,3,2,0,0,3,10.6
thomama02,Matt Thomas,TORONTO RAPTORS,HOME,NEW ORLEANS PELICANS,LOSS,1217,3,6,3,5,0,0,0,2,4,2,0,0,2,10.6
robindu01,Duncan Robinson,MIAMI HEAT,AWAY,ORLANDO MAGIC,LOSS,1820,4,8,3,6,3,3,0,5,1,0,0,1,2,10.4
balllo01,Lonzo Ball,NEW ORLEANS PELICANS,AWAY,TORONTO RAPTORS,WIN,1728,4,9,4,8,4,6,1,4,2,1,2,5,3,10.0
bogdabo01,Bogdan Bogdanović,ATLANTA HAWKS,AWAY,CHICAGO BULLS,WIN,1496,5,12,3,8,2,3,0,7,2,1,0,2,2,9.9
bookede01,Devin Booker,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,2047,8,15,2,6,4,6,0,5,3,2,0,8,4,9.9
gallida01,Danilo Gallinari,ATLANTA HAWKS,AWAY,CHICAGO BULLS,WIN,1466,4,6,1,2,4,4,0,4,3,0,0,3,2,9.9
nurkiju01,Jusuf Nurkić,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,LOSS,1312,5,9,1,2,2,2,1,2,3,1,0,2,3,9.9
aytonde01,Deandre Ayton,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,1450,5,9,0,0,3,6,1,7,1,1,2,2,4,9.8
bouchch01,Chris Boucher,TORONTO RAPTORS,HOME,NEW ORLEANS PELICANS,LOSS,887,6,8,0,1,0,0,2,3,0,0,2,2,2,9.7
gallola01,Langston Galloway,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,514,4,5,2,2,1,1,0,1,1,0,0,0,1,9.7
reidna01,Naz Reid,MINNESOTA TIMBERWOLVES,HOME,DETROIT PISTONS,WIN,1054,2,5,0,1,4,6,2,3,1,0,3,0,0,9.6
anthoca01,Carmelo Anthony,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,LOSS,1444,5,12,0,0,5,6,1,3,0,1,0,1,2,9.0
mcderdo01,Doug McDermott,INDIANA PACERS,HOME,NEW YORK KNICKS,WIN,1697,5,12,0,6,3,4,1,5,2,1,0,1,2,9.0
payneca01,Cameron Payne,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,1215,5,9,1,2,0,0,1,2,3,0,1,1,2,9.0
trentga02,Gary Trent,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,LOSS,1568,4,12,3,5,0,0,0,2,3,2,0,0,0,8.9
grahade01,Devonte' Graham,CHARLOTTE HORNETS,AWAY,CLEVELAND CAVALIERS,LOSS,2227,4,13,2,9,0,0,2,1,10,0,0,2,1,8.8
huertke01,Kevin Huerter,ATLANTA HAWKS,AWAY,CHICAGO BULLS,WIN,1623,4,10,2,6,1,2,0,2,4,1,0,0,2,8.8
conlemi01,Mike Conley,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,WIN,1775,6,15,4,7,2,3,0,3,2,0,0,2,3,8.6
theisda01,Daniel Theis,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,1480,4,8,2,6,0,0,0,3,3,0,0,0,1,8.6
doziepj01,PJ Dozier,DENVER NUGGETS,HOME,SACRAMENTO KINGS,LOSS,879,3,5,0,1,1,1,2,3,2,0,2,1,1,8.4
gayru01,Rudy Gay,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,WIN,1266,4,9,1,5,1,2,0,7,1,0,3,1,1,8.4
griffbl01,Blake Griffin,DETROIT PISTONS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2100,6,13,0,5,3,5,0,7,2,0,0,2,2,8.2
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,LOSS,2021,4,12,1,7,0,1,0,4,7,1,1,1,1,8.2
baynear01,Aron Baynes,TORONTO RAPTORS,HOME,NEW ORLEANS PELICANS,LOSS,1686,5,9,1,4,0,0,1,8,0,0,0,1,2,8.0
brunsja01,Jalen Brunson,DALLAS MAVERICKS,AWAY,PHOENIX SUNS,LOSS,1091,5,8,0,2,2,2,0,2,4,0,0,3,2,8.0
lavinza01,Zach LaVine,CHICAGO BULLS,HOME,ATLANTA HAWKS,LOSS,1518,9,19,1,8,3,3,1,1,1,1,0,5,5,8.0
martico01,Cody Martin,CHARLOTTE HORNETS,AWAY,CLEVELAND CAVALIERS,LOSS,1261,2,3,0,0,1,1,1,4,4,0,0,0,1,8.0
biyombi01,Bismack Biyombo,CHARLOTTE HORNETS,AWAY,CLEVELAND CAVALIERS,LOSS,1461,5,5,0,0,1,5,1,3,0,0,1,2,1,7.8
millspa02,Patty Mills,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,WIN,1158,5,11,2,4,1,1,0,2,2,0,0,0,4,7.7
drumman01,Andre Drummond,CLEVELAND CAVALIERS,HOME,CHARLOTTE HORNETS,WIN,1633,7,18,0,1,0,0,3,11,4,1,0,5,2,7.6
osmande01,Cedi Osman,CLEVELAND CAVALIERS,HOME,CHARLOTTE HORNETS,WIN,1077,4,9,3,6,0,0,1,3,2,0,0,1,2,7.5
fultzma01,Markelle Fultz,ORLANDO MAGIC,HOME,MIAMI HEAT,WIN,1729,6,15,0,3,3,3,0,5,4,1,1,4,4,7.3
lopezbr01,Brook Lopez,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,LOSS,1745,3,4,1,2,0,0,2,1,0,0,2,0,3,7.3
wadede01,Dean Wade,CLEVELAND CAVALIERS,HOME,CHARLOTTE HORNETS,WIN,952,3,4,1,2,0,0,0,0,3,3,0,2,3,7.3
bjeline01,Nemanja Bjelica,SACRAMENTO KINGS,AWAY,DENVER NUGGETS,WIN,956,3,8,0,1,4,4,3,1,2,0,0,1,3,7.2
harriga01,Gary Harris,DENVER NUGGETS,HOME,SACRAMENTO KINGS,LOSS,2493,4,9,0,4,2,2,0,2,2,0,1,0,2,7.2
huntede01,De'Andre Hunter,ATLANTA HAWKS,AWAY,CHICAGO BULLS,WIN,1554,5,6,1,1,0,0,0,3,1,0,0,2,3,7.2
anthoco01,Cole Anthony,ORLANDO MAGIC,HOME,MIAMI HEAT,WIN,1151,3,5,0,1,0,0,0,2,6,2,0,3,1,7.1
bullore01,Reggie Bullock,NEW YORK KNICKS,AWAY,INDIANA PACERS,LOSS,1538,4,10,3,8,0,0,0,1,2,1,0,0,3,7.1
okogijo01,Josh Okogie,MINNESOTA TIMBERWOLVES,HOME,DETROIT PISTONS,WIN,1953,4,9,1,4,3,3,1,3,2,0,0,2,3,7.1
bogdabo02,Bojan Bogdanović,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,WIN,1992,5,14,4,11,1,1,1,5,2,0,0,3,2,7.0
grantje01,Jerami Grant,DETROIT PISTONS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1885,4,11,1,5,0,0,0,1,3,1,1,0,0,7.0
richajo01,Josh Richardson,DALLAS MAVERICKS,AWAY,PHOENIX SUNS,LOSS,2176,5,11,2,7,0,0,1,6,1,1,0,2,4,6.9
hardati02,Tim Hardaway,DALLAS MAVERICKS,AWAY,PHOENIX SUNS,LOSS,1608,3,10,3,8,3,6,0,4,0,1,0,0,1,6.8
mccontj01,T.J. McConnell,INDIANA PACERS,HOME,NEW YORK KNICKS,WIN,1220,2,3,0,0,1,2,1,3,5,1,0,1,4,6.8
avdijde01,Deni Avdija,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,LOSS,1686,2,2,2,2,1,2,0,4,1,1,0,1,3,6.7
korkmfu01,Furkan Korkmaz,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,WIN,1211,4,9,3,6,0,0,0,1,0,1,2,2,1,6.6
howardw01,Dwight Howard,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,WIN,790,2,2,0,0,0,0,3,7,2,0,1,2,3,6.5
allengr01,Grayson Allen,MEMPHIS GRIZZLIES,HOME,SAN ANTONIO SPURS,LOSS,1617,2,7,2,6,0,0,0,2,5,0,1,0,1,6.3
poeltja01,Jakob Poeltl,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,WIN,1154,2,6,0,0,0,0,4,3,1,1,1,0,1,6.3
bongais01,Isaac Bonga,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,LOSS,1003,2,3,1,1,0,1,1,2,2,2,0,1,2,6.2
zelleco01,Cody Zeller,CHARLOTTE HORNETS,AWAY,CLEVELAND CAVALIERS,LOSS,1137,3,6,0,2,0,1,1,2,0,3,1,1,1,6.2
achiupr01,Precious Achiuwa,MIAMI HEAT,AWAY,ORLANDO MAGIC,LOSS,819,3,4,0,0,2,4,1,2,0,0,0,0,2,6.1
holmeri01,Richaun Holmes,SACRAMENTO KINGS,AWAY,DENVER NUGGETS,WIN,1379,3,6,0,0,0,0,6,3,1,0,1,1,6,6.1
anunoog01,OG Anunoby,TORONTO RAPTORS,HOME,NEW ORLEANS PELICANS,LOSS,2173,4,10,0,5,0,0,2,6,2,3,2,4,4,6.0
